Mollusc,Habitat,Shell type,Species,Family
snail,Lentic,Globose,Pila globosa,Ampullariidae
snail,Lentic,Globose,Pila virens,Ampullariidae
snail,Lentic,Globose,Pila olea,Ampullariidae
snail,Lentic,Conical,Filopaludina bengalensis,Viviparidae
snail,Lentic,Conical,Idiopoma dissimilis,Viviparidae
snail,Lentic,Conical,Makongia crassa,Viviparidae
snail,Lentic,Conical,Cipangopaludina,Viviparidae
snail,Lentic,Minute,Bithinia textum,Bithinidae
snail,Lentic,Minute,Gabbia orcula,Bithinidae
snail,Lentic,Minute,Digoniostoma pulchella,Bithinidae
snail,Lentic,Minute,Hydrobioides nana,Bithinidae
snail,Lentic,Thin,Lymnaea luteola,Lymnaeidae
snail,Lentic,Thin,Lymnaea acuminata,Lymnaeidae
snail,Lentic,Thin,Lymnaea biacuminata,Lymnaeidae
snail,Lentic,Elongated,Melanoides tuberculatus,Thiaridae
snail,Lentic,Elongated,Thiara scabra,Thiaridae
snail,Lentic,Elongated,Tarebia Iineata,Thiaridae
snail,Lentic,Flat,Indoplanorbis exustus,Planorbidae
snail,Lentic,Flat,Gyraulus convexiusculus,Planorbidae
snail,Lentic,Flat,Planorbis rotundatus,Planorbidae
snail,Lentic,Flat,Segmentina trochoidea,Planorbidae
snail,Lentic,Flat,Hippelltis umbilicalis,Planorbidae
snail,Lotic,Globose,Cremnoconchus syhadrensis,Littorinidae
snail,Lotic,Globose,Cremnoconchus conicus,Littorinidae
snail,Lotic,Globose,Neritina pertotiana,Neritidae
snail,Lotic,Conical,Paludomus transchuricus,Paludomidae
snail,Lotic,Conical,Paludomus stomatodon,Paludomidae
snail,Lotic,Conical,Neosataria everzardi,Bithinidae
snail,Lotic,Elongated,Brotia costula,Pachychelidae
snail,Lotic,Elongated,Paracrostoma hugelii,Pachychelidae
snail,Lotic,Hat,Ferrissia tenuis ,Planorbidae
snail,Lotic,Globose,Pila saxea,Ampullariidae
